MnuNo,MenuOpt,MnuName,MnuCap,ExeName,pgmopt,AllowWhenTrnClosed,MultiInstance,SmritiWorkspace,SmritiMenuId,SmritiModule,SmritiAction,DocumentType,MigrationStatus,Notes
0,100,Shoper,Sales,,0,0,0,POS Hub,menu-pos,SALES,NAVIGATE,,MERGED,SMRITI root nav: POS Hub
0,200,Shoper,Cash,,0,0,0,Business Ledger,menu-business-ledger,FINANCE,NAVIGATE,,MERGED,SMRITI root nav: Business Ledger
0,300,Shoper,Stock,,0,0,0,Inventory Hub,menu-inventory,INVENTORY,NAVIGATE,,MERGED,SMRITI root nav: Inventory Hub
0,400,Shoper,Reports,,0,0,0,Reports Portal,menu-reports,REPORTS,NAVIGATE,,MERGED,SMRITI root nav: Reports Portal
0,500,Shoper,Housekeeping,,0,0,0,Governance Masters,menu-masters,CONFIG,NAVIGATE,,MERGED,SMRITI root nav: Governance Masters
0,600,Shoper,Catalogue,,0,0,0,Item Master,menu-item-master,INVENTORY,NAVIGATE,,MERGED,SMRITI root nav: Item Master (Catalogue)
0,700,Shoper,Setup,,0,0,0,Company Setup,menu-company-setup,ADMIN,NAVIGATE,,MERGED,SMRITI root nav: Company Setup
0,800,Shoper,Help,,0,0,0,Dashboard,menu-dashboard,SYSTEM,NAVIGATE,,NOT_APPLIC,Help menu -- no SMRITI equivalent needed
100,101,Sales,Billing,SR130000.EXE,0,0,1,Sales Workspace,menu-sales,SALES,NEW_TRANSACTION,SALES_INVOICE,MAPPED,Sales Workspace: New Tax Invoice. MultiInstance=1 preserved via tabbed session.
100,104,Sales,Sales Advice Slips,SR115500.EXE,2,0,0,Sales Workspace,menu-sales,SALES,NEW_TRANSACTION,SALES_ADVICE_SLIP,MERGED,Sales Workspace: Advice Slip sub-mode via pgmopt=2.
100,105,Sales,Service Order,SR115500.EXE,7,0,0,Sales Workspace,menu-sales,SALES,NEW_TRANSACTION,SERVICE_ORDER,MERGED,Sales Workspace: Service Order sub-mode via pgmopt=7.
100,106,Sales,Sales Order,SR115500.EXE,3,0,0,Sales Workspace,menu-sales,SALES,NEW_TRANSACTION,SALES_ORDER,MERGED,Sales Workspace: Sales Order sub-mode via pgmopt=3.
100,107,Sales,Sales Order Conversion,SR131400.EXE,0,0,0,Sales Workspace,menu-sales,SALES,CONVERT,SALES_ORDER,MAPPED,Sales Workspace: Order Conversion action (SR131400.EXE).
100,108,Sales,Walk-in Entry,SR120100.EXE,0,0,0,Customer Workspace,menu-customer-master,CRM,WALKIN_ENTRY,,MAPPED,Customer Workspace: Walk-in registration. Distinct action within Customer WS.
100,109,Sales,Change Payment Mode,SR323300.EXE,1,1,0,Sales Workspace,menu-sales,SALES,CHANGE_PAYMENT_MODE,,MAPPED,Sales Workspace: Post-bill payment mode amendment. AllowWhenTrnClosed=1.
100,110,Sales,Pending Order/Trn Closure,SE101100.EXE,1,1,0,Sales Workspace,menu-sales,SALES,RECALL_PENDING,,MAPPED,Sales Workspace: Recall/close pending transactions. AllowWhenTrnClosed=1.
100,111,Sales,Excise Invoice Generation,SR440100.EXE,0,0,0,Sales Workspace,menu-sales,SALES,GENERATE_EXCISE,EXCISE_INVOICE,DEPRECATED,Excise Invoice -- pre-GST. GST era: E-Invoice via compliance gateway instead.
100,112,Sales,Transport Receipt Entry,SD400800.EXE,8,0,0,Purchase Workspace,menu-purchase,PURCHASE,NEW_TRANSACTION,TRANSPORT_RECEIPT,MERGED,Transport Receipt -- merged into Purchase Workspace inbound logistics.
200,201,Cash,Cash Payouts,SR100200.EXE,2,0,0,Business Ledger,menu-business-ledger,FINANCE,NEW_TRANSACTION,CASH_PAYOUT,MAPPED,Business Ledger: Cash Payout document.
200,202,Cash,Cash Receipts,SR100200.EXE,1,0,0,Business Ledger,menu-business-ledger,FINANCE,NEW_TRANSACTION,CASH_RECEIPT,MAPPED,Business Ledger: Cash Receipt document.
200,250,Cash,Credit Card Management,,0,0,0,Business Ledger,menu-business-ledger,FINANCE,NAVIGATE,,MERGED,Credit Card group -- merged into Business Ledger sub-section.
200,260,Cash,Franchisee A/C,,0,0,0,Business Ledger,menu-business-ledger,FINANCE,NAVIGATE,,MERGED,Franchisee A/C group -- merged into Business Ledger.
200,270,Cash,Till Management,,0,0,0,Business Ledger,menu-business-ledger,FINANCE,NAVIGATE,,MAPPED,Till Management group -- SMRITI Business Ledger: Till section.
200,280,Cash,Credit Sale Management,,0,0,0,Business Ledger,menu-business-ledger,FINANCE,NAVIGATE,,MAPPED,Credit Sale Management group -- Business Ledger: Credit section.
250,251,Credit Card Management,Submission,SR100300.EXE,1,0,0,Business Ledger,menu-business-ledger,FINANCE,NEW_TRANSACTION,CC_SUBMISSION,MAPPED,Business Ledger: Credit Card Submission.
